project_id,questions_count
2124501,1
118438986,717
8064928,11
82222855,1841
173084783,14
15474587,229
5326050,1
26175648,1
98314055,24
86693397,7
8567106,2
200452183,56
3126471,7162
32401946,2
97356149,1
49413056,1
3089022,27
27908670,2
97648262,1
12868256,2
52029495,1004
126486431,18
12294686,243
46544519,2408
7261435,1
54107008,2
21419002,1217
800441,10
95891981,1737
80783138,8
126256846,21
107897455,122
163129577,73
70991285,1
7473458,7
20857560,57414
202579177,75
2071831,41
4534937,508
24126332,1
44696712,3
2596538,2745
27905779,31
3064027,202
30881048,10
45486027,44
116980077,355
2059236,1
58442507,576
35501952,4
40619002,12702
15685886,97
4239399,14
37823900,4
24115571,126
36750427,34
41135994,3
32181585,3
172562599,1
24279509,1
196415687,184
77692884,477
10647655,94
51223178,593
247839232,77
5256324,2
28178583,149
25178013,2
95256324,242
13868646,72
219047257,131
1189644,1
17916279,1
45852702,1
205805899,205
2668665,1
170367633,3
120755378,15
219465349,35
65306974,1
39730987,13494
494547,53
292491,2221
27464018,45
27932420,1
1211834,1
10530110,4
23791276,94414
66389138,682
100700643,1
72737846,2
2264035,10
174338070,30
5598310,1
117135522,265
15424320,14
100663049,2
7387779,56
97142670,1
95805331,91
22609806,8
578337,1135
7107440,1
26326114,6
49801570,22
277593641,1
172869662,2
159933264,1
249480354,1
29532132,14645
151298737,2
40703184,292
24443186,191815
18852566,2
22317319,9
76954974,1
5269375,9235
45345748,1
4203646,50
8609996,1
22511128,1
64137253,5
40508794,4
28373237,4
4236765,1
717027,94
3893791,13
43215497,8
249111152,2
115478661,39026
135130351,1
175500169,14
99580477,1
46427207,3623
65153793,3
22377139,1
1941656,313
41917013,1
792563,1
8847651,19
7613774,2
240791504,1142
1154500,2653
154931607,33
2527261,1
77459687,1
89062988,18
275178835,8
186670393,16
168224077,841
128506236,1
155916383,9690
51317493,1
29594752,2
200549496,2
154144474,3851
30163486,1
10128257,232
957564,14
38276094,7
92232623,44
69612908,1
8939070,3
20923493,5
31482240,5
47223526,3
89156636,11
17265748,1
41648595,179305
201299474,1298
7775981,1
9552871,9
2826221,23381
10703635,1
111624106,21
158166716,1
613919,1
49476,19
803581,1
46003047,539
5296259,4
9929356,7
216647036,1
52993062,2
169333290,19
38420518,1605
4494720,316
78828510,1
85267857,4
31698509,11
69080103,486
112635,1
6023401,30190
41529959,9
1569650,22480
4884896,168
38209281,4
4619897,7
19455587,2
20375257,17
37495445,5
233031208,1
79050314,12414
30997046,3
58772713,2
134745622,2
148984291,70
32922553,30
44330638,3
13512999,2
16895534,3684
85644237,1
1322849,1
13921764,4
8373425,3
166242790,16
13854020,1
8255516,22
208550371,1
119439602,287
4286159,3
47453762,14
146983529,67430
27154014,2082
18553750,13026
292800074,20
13195075,13
2366023,830
7483273,6922
64195975,53
3792612,24
9706463,1415
2745410,777
42720868,4
1633657,1
34148677,13262
39371083,2
70918855,1
103219342,201763
42778872,282
34252576,13445
6849558,3
62023710,6
1220209,12
273806411,134
35402075,96
67083348,98
47000280,1
16347513,640
21443268,4
153988174,35454
81362607,2
85477441,1
324042,9
670259,10
20279965,1
20275431,37498
19451035,59
17251497,7
3934185,965
52026575,1437
9832787,5
64496849,1
15413944,1
32133834,1
2416207,2
3411805,16
3836962,1
9678,7
131068987,11
12225546,2
32946750,3962
69941190,85
57927415,1
12338888,26
329033,9
268355010,1
60487204,2
1965708,4
122759416,8
3720771,107
2490839,78
4835728,1
222340751,1
110984017,2
111262347,17
127458678,1
126512452,5
36827699,3
67125409,22
25270691,2134
111600417,1
26611236,9
8040468,9
109758339,1
127124931,116278
17308977,5933
11243271,2
8880675,50
14769262,3
2747533,4
97639,6
16432697,211
48180590,7
42675994,33
93546612,9
31558320,1
13112399,1
27652822,32
1904852,1
37318232,1
13543532,1
19521457,36
35854816,9
44578650,8818
102377778,71
560911,2
53372543,748
139400446,3
16411852,32
31312945,1
63317231,43
8917125,86
10381009,2804
70548933,464
5723079,4
47027936,1
85271874,2
39816482,8
83229036,8
36418225,2
78683649,1
225024134,1
76642758,1376
88331638,3
200172868,22922
131765161,1529
68709937,93400
134607961,1
53571854,1
128468211,9090
142203027,16387
3073998,346
7626736,19
17006430,54
128271544,1
71475907,1
65751573,1
98487673,1
91538143,14
4818021,1
38204029,17
28704310,230
126569028,1
46204818,5
169579260,1
77355274,646
1630399,7
223615114,76
218869822,17325
369627,11982
46465861,182
29735416,3
16421222,206
37323621,7
34865016,26
15396045,7315
185019120,1
6838886,2
93543983,4
68532908,283
121626767,1
14222120,2
117368763,4
15323141,1
29408,1
956494,675
57051129,10
1866290,2240
105900695,2
18364623,8
113411479,1510
42750404,9
26506083,2
62000998,1
59347084,26902
24256818,26
68915688,194
1772273,4
46433503,210
6807695,79
2031307,1
191340860,2910
162320094,1420
136274375,1
66891027,17
5967372,280
73842989,2
53099058,23
7399757,1
33184625,5
1034460,14
94093086,312
25865920,7
8888923,1
111444821,6
2831496,6
126413108,8662
6333796,3475
15939273,93391
170344881,1
221584272,1
215322499,23621
288477844,2
7368314,2
367235,2
25334762,23072
13725508,1
192554624,10
51409937,1
6843086,10
132333404,3
126000077,13272
975712,94
14575927,660
35124210,23017
38013998,9
8131152,7
8876814,2
75470911,9
148559953,49737
1583027,4
1556049,75
79540562,1
14730879,107
50715237,20
9684678,731
42473064,1
8817788,271
14163172,5337
99582397,30
2466338,2
83819947,6
13910179,2
12853074,10
48517278,5472
149519847,1
60499520,4
79201166,3
16433054,3
855632,222
43274575,1
19203030,19407
547407,29
56545869,5943
31727807,9290
159945519,2233
13105539,49247
5874139,1478
478394,94
40639628,10
12958155,8543
135214433,5
2627116,5
25510903,9
25843718,6
77909931,16
34672431,7
70269906,8
94580816,20
34086524,2
166321045,120
206875988,54
112178470,2
29819448,1
156355245,5309
4743313,4
66651306,1
95082650,1
39375359,1
16455113,1
12030578,5628
10557890,2
41315313,12
4464739,5
143297040,2
33779066,63
9199955,2
84883982,1
8202968,12
81796467,67
2544169,2
63380093,247
19354917,2
281911,9
9228019,1
1281540,1
11305727,7
2437749,7
41040638,1
19884404,24
88106981,39
21884996,133
35358816,214
93328686,9
164034710,4
3433600,2
38775753,49
63572892,4759
186898497,3294
129257185,1280
163293239,7
8143599,14
24322523,1
3748822,88
18266762,2099
17434910,1
2054852,29351
171181,239
29690208,3812
622037,12
21681920,9
18329694,1
151907246,1
3814727,479
97777288,66
45732823,3
19289429,190
12858085,1121
10135481,7
227647545,4
258881281,3
15068742,1
162411132,2
145534195,28
173974328,16
4487313,111
55336820,1
167904529,4
69097356,12206
53040716,10
120760965,2
251531482,14
75739307,1
51334299,18
23627382,319348
75187,12702
114842,4
10037797,1
66439229,15
108594178,1
211599571,92
130588741,128
84456863,97
94575110,7
100711370,239
142845306,1
125964837,2
198313722,5
170029630,1
4480629,1
6518669,6684
8247372,7
75809795,1
5212629,3
222856841,275
184575419,475468
26607589,1
220333768,2
63479100,820550
137070318,761
14408127,1283
9757686,1
766140,18
31136759,1
30398448,1
1389377,2
25570238,1
67635469,2
127503146,1
11425280,1
45494413,2
1812192,1
2611601,1
124265234,3
43059329,1
8619611,1
1988186,1
84713568,12
16763067,100
90649009,1
186845937,241
134185596,1
610330,1
53449333,2
15596399,31182
103973531,1
11240644,3
4598588,25
23547579,2
22031272,3
51122075,2
116968911,1129
188480824,127
106414728,3
51890205,6
69412284,6
187550616,190
29799976,31
161724625,119
100953787,1
127841421,14
55992649,7
121559573,8
36773391,2
43074582,1
9603304,1
495192,536
58933847,300
946245,195
10734972,16
699015,6
3772149,29
142770189,1
49888741,13
80961315,2
211942728,10
9081590,1
103326903,16
32320647,24
46883737,1
58239100,789
22736970,68
100850826,246
42557838,8
23478446,1
44591113,6
545034,25
39132194,7
53163695,39
6669883,5
156473530,6015
255422006,2
5336252,3
105088940,91
26317948,1
81208961,1
219743769,4
18235716,7
16780020,5
37385372,7
14685930,5
80352120,1
1810952,2
2711936,1
69830362,3
219096591,9
165217643,1817
89974396,6067
58247556,5
4985534,3
278881440,2
96721073,5
204534960,3
100346938,88843
174844400,221
159496696,2
9812560,1
1820568,73
87166313,42
2221963,1
81764898,6
21529655,1082
37584611,1
3332241,3
11525466,1
2571950,1
6048266,1
3423030,1
203193223,12
76253681,1
19156879,6656
211646730,1
194650048,6
38099296,4
131995651,26536
291299977,20
23758743,111
310009,19
54096257,4
63173414,266
111196883,30
121843895,2521
92490850,1
96358645,1
30337731,4
178346294,3
7235384,1
70004473,33749
3161773,1
38002656,99
20973707,16
49961054,7
26063183,4
9052092,15
60146498,8354
2930875,2
17987821,1
38727503,5
12688822,4
1185005,1973
121461582,2
256258819,24144
52588569,111
72874378,1
123736899,8
198752909,15772
8514563,2032
133215829,193
15848795,11
2622699,3
8847382,9
136622403,1
51732059,23
49494345,3
130525477,18
123113448,1
34678748,1
108708651,1355
156432021,94
71230628,6
157352006,5
147621953,1
159554919,9
3894524,113
169448934,531
155460,35
5129047,459
59611078,44948
4527955,202
64818376,1
106740471,3
133955090,528
116288842,2
59140168,1
45256784,4403
67291607,1
63072873,7
133025240,1
40194425,35
36518226,58
22021666,3
21424418,21
53358699,83446
3444101,5
117980772,2
88940233,1
59966573,2
5801352,8
49774980,5
65614899,1
83410425,840
3245816,2311
214198590,1
111433168,4
11576215,26
172803824,1
115708211,2932
65505983,24
89004917,28
31609031,1
29904597,39
48590551,31
47416076,3
24627405,4723
14466810,25
14915065,1
45695011,2
61155651,5
71945150,1
120172476,7133
5782574,1
40738002,4
139365413,58
26545032,5
128711208,2
153173690,5
239225998,54
10479791,3
1379470,1
21170375,188
132515649,305
41057267,1
200415237,68
65490742,81
41861671,1
4057101,419
134494359,3
296829,11
615414,1
4671766,1
49186110,3
7628447,63
24118303,2
186419827,4
1468120,1
1624410,3
132498923,1
179046667,5996
153982248,457
33687262,1
3125315,33100
15657361,2
143595972,5472
179525113,5472
46877334,14211
4010699,7
52263045,1
152166,159
13075993,1609
75571530,1
9350719,11228
23163616,1
78812734,1
1880034,346032
26797399,37
100581886,1
38894882,2
305320,7161
51663051,1986
50602072,2
48879169,77
31913111,4
3452130,47
22601443,1
796146,1
121050677,11
9074548,5
11719739,6
14815244,5472
77826102,10
61431065,710
1169910,5
77691370,1
6512296,2
159940252,15
260382020,287
179863066,1
205997187,6
1859744,6
273587494,26
66118863,1
60194806,3
129365301,372
199525869,9
108930363,27
6377364,4
